split,device_id,state_label,true_anomaly,detected_any,max_score,threshold,first_detect_time,delay_minutes
valid,BAT_0041,normal,False,True,2.4053237438201904,1.7281285345554358,,
valid,BAT_0042,voltage_sag,True,True,3.1322073936462402,1.7281285345554358,2026-01-02 10:10:00,5.0
valid,BAT_0043,normal,False,True,2.285193681716919,1.7281285345554358,,
valid,BAT_0044,soc_sensor_drift,True,True,2.320091724395752,1.7281285345554358,2026-01-03 04:15:00,425.0
valid,BAT_0045,resistance_growth,True,True,7.276162624359131,1.7281285345554358,2026-01-02 22:40:00,70.0
valid,BAT_0046,soc_sensor_drift,True,True,2.6639556884765625,1.7281285345554358,2026-01-02 16:50:00,165.0
valid,BAT_0047,resistance_growth,True,True,10.634896278381348,1.7281285345554358,2026-01-02 21:05:00,370.0
valid,BAT_0048,thermal_rise,True,True,15.254745483398438,1.7281285345554358,2026-01-02 01:25:00,50.0
valid,BAT_0049,cell_imbalance,True,True,8.671499252319336,1.7281285345554358,2026-01-02 16:45:00,285.0
valid,BAT_0050,cell_imbalance,True,True,2.9517428874969482,1.7281285345554358,2026-01-02 22:55:00,25.0
valid,BAT_0051,voltage_sag,True,True,2.256165027618408,1.7281285345554358,2026-01-02 15:30:00,645.0
valid,BAT_0052,thermal_rise,True,True,27.475631713867188,1.7281285345554358,2026-01-02 11:50:00,5.0
test,BAT_0053,voltage_sag,True,True,2.2765965461730957,1.7281285345554358,2026-01-02 20:30:00,505.0
test,BAT_0054,soc_sensor_drift,True,True,2.139516592025757,1.7281285345554358,2026-01-02 20:40:00,20.0
test,BAT_0055,cell_imbalance,True,True,5.361547946929932,1.7281285345554358,2026-01-02 15:45:00,205.0
test,BAT_0056,thermal_rise,True,True,23.2720947265625,1.7281285345554358,2026-01-02 12:15:00,30.0
test,BAT_0057,voltage_sag,True,True,3.2810604572296143,1.7281285345554358,2026-01-02 07:50:00,130.0
test,BAT_0058,resistance_growth,True,True,11.882855415344238,1.7281285345554358,2026-01-02 21:55:00,110.0
test,BAT_0059,thermal_rise,True,True,18.97776985168457,1.7281285345554358,2026-01-02 14:10:00,5.0
test,BAT_0060,voltage_sag,True,True,4.5195159912109375,1.7281285345554358,2026-01-02 08:35:00,245.0
test,BAT_0061,cell_imbalance,True,True,5.577275276184082,1.7281285345554358,2026-01-02 09:35:00,230.0
test,BAT_0062,normal,False,True,2.3328514099121094,1.7281285345554358,,
test,BAT_0063,resistance_growth,True,True,13.320378303527832,1.7281285345554358,2026-01-02 11:25:00,160.0
test,BAT_0064,soc_sensor_drift,True,True,2.5679898262023926,1.7281285345554358,2026-01-02 14:05:00,340.0
test,BAT_0065,normal,False,True,2.1038975715637207,1.7281285345554358,,
test,BAT_0066,thermal_rise,True,True,30.46341896057129,1.7281285345554358,2026-01-02 15:30:00,0.0
test,BAT_0067,soc_sensor_drift,True,True,2.5919456481933594,1.7281285345554358,2026-01-02 18:40:00,185.0
test,BAT_0068,normal,False,True,2.644954204559326,1.7281285345554358,,
