curve_id,放电倍率,capacity_factor,is_degraded,max_capacity_ah,tail_positive_residual_v,tail_abs_error_v,end_positive_residual_v,model
0,0.5,0.813393504594512,1,13.827689578106703,0.7897304109340235,0.7897304109340235,0.9075093408331747,DNN
1,0.5,1.0125114595742597,0,17.21269481276241,0.016869711180354227,0.02560875149883108,0.024352760792411617,DNN
2,0.5,1.0056467288787556,0,17.095994390938845,0.0057118505747062644,0.02430422211970925,0.02339425818866387,DNN
3,0.5,1.0220254487908005,0,17.374432629443604,0.004087602720184889,0.08123235319533624,0.021800547840986076,DNN
4,1.0,0.8361223644517274,1,14.214080195679363,0.6681170994544728,0.6681170994544728,0.845850107142021,DNN
5,1.0,0.9935848496080788,0,16.89094244333734,0.07047778085965703,0.07047778085965703,0.10331738106159467,DNN
6,1.0,0.99364189760634,0,16.89191225930778,0.06262621923994638,0.06262621923994638,0.0972687471635326,DNN
7,1.0,0.9788431420460276,0,16.64033341478247,0.08965206021999934,0.08965206021999934,0.19694734279223425,DNN
8,1.5,0.8245215963129606,1,14.01686713732033,0.7301717955096627,0.7301717955096627,0.8011504973414103,DNN
9,1.5,1.0179554801604975,0,17.30524316272846,0.0003879933234147148,0.07553393694463002,0.002069297724878479,DNN
10,1.5,0.9798700670162196,0,16.657791139275734,0.0400355274361005,0.04088698286039559,0.09388295333131448,DNN
11,1.5,1.0067270606424004,0,17.114360030920807,0.01045389669244273,0.016283675880909596,0.016214032081665695,DNN
12,2.0,0.814421561700795,1,13.845166548913516,0.6334242837375441,0.6334242837375441,0.627645955893714,DNN
13,2.0,0.9827303135901512,0,16.70641533103257,0.009094401699784354,0.04822371921499901,0.036440303847497885,DNN
14,2.0,1.0055940651123012,0,17.09509910690912,0.007383382565132737,0.012480742049054926,0.011890844387793987,DNN
15,2.0,0.9996929515427108,0,16.99478017622608,0.00836047563642112,0.012832809921889145,0.01626617644232163,DNN
16,3.0,0.815909270832036,1,13.870457604144612,0.29780815630891644,0.29780815630891644,0.2653416503451814,DNN
17,3.0,0.9809019321097824,0,16.6753328458663,0.05597758879306775,0.05597758879306775,0.00813045653248966,DNN
18,3.0,0.9732168981237752,0,16.544687268104177,0.008732620060231502,0.04815962942012677,0.010603789471102706,DNN
19,3.0,0.9908554809015122,0,16.844543175325708,0.008303024261525788,0.0262068212991194,0.005255728060658586,DNN
20,4.0,0.8379994509515972,1,14.245990666177152,0.04506171861717619,0.04506171861717619,0.030395097980837664,DNN
21,4.0,1.006813205742935,0,17.115824497629898,0.02134529753459796,0.021525642920400143,0.002212335137727006,DNN
22,4.0,0.9894963246936248,0,16.821437519791623,0.012247392280975893,0.014428411946656016,0.0029995647221605143,DNN
23,4.0,0.9916077956195992,0,16.857332525533188,0.019782931335080457,0.019782931335080457,0.002806610966013867,DNN
24,5.0,0.827706335755785,1,14.071007707848343,0.008946710950092604,0.008946710950092604,0.0075834286282909285,DNN
25,5.0,0.983935205276251,0,16.726898489696268,0.010181249484888903,0.010181249484888903,0.008719465124983956,DNN
26,5.0,0.9882242483389612,0,16.79981222176234,0.010237164365985258,0.010237164365985258,0.008476112055737704,DNN
27,5.0,1.0205934727704518,0,17.35008903709768,0.00930917244732409,0.009464251574488325,0.005125932513250763,DNN
28,6.0,0.8277603718717793,1,14.071926321820248,0.008415831626694589,0.008415831626694589,0.00901132015449403,DNN
29,6.0,1.013540756039235,0,17.230192852666995,0.009306303552712874,0.009339899909296415,0.007076742787669084,DNN
30,6.0,1.00152133046585,0,17.02586261791945,0.009719732674548363,0.009719732674548363,0.00962743981083911,DNN
31,6.0,0.989476019252102,0,16.821092327285733,0.00990399495760977,0.00990399495760977,0.01036290998777551,DNN
0,0.5,0.813393504594512,1,13.827689578106703,0.71900518821871,0.71900518821871,0.7834073677404946,1D-CNN
1,0.5,1.0125114595742597,0,17.21269481276241,0.024436986924651516,0.027232683571285828,0.016077252183572366,1D-CNN
2,0.5,1.0056467288787556,0,17.095994390938845,0.008476185132691357,0.022801212994583993,0.0069590826949790735,1D-CNN
3,0.5,1.0220254487908005,0,17.374432629443604,0.0008363908814644309,0.05378717897969688,0.0,1D-CNN
4,1.0,0.8361223644517274,1,14.214080195679363,0.613241086465117,0.613241086465117,0.7134452287722,1D-CNN
5,1.0,0.9935848496080788,0,16.89094244333734,0.06620255718107985,0.06620255718107985,0.07774649577672103,1D-CNN
6,1.0,0.99364189760634,0,16.89191225930778,0.05838597645215473,0.05838597645215473,0.07192101167447479,1D-CNN
7,1.0,0.9788431420460276,0,16.64033341478247,0.07071791012256956,0.07071791012256956,0.10255262012161125,1D-CNN
8,1.5,0.8245215963129606,1,14.01686713732033,0.6808562760909478,0.6808562760909478,0.7156969767828735,1D-CNN
9,1.5,1.0179554801604975,0,17.30524316272846,0.000631990734205982,0.0747352509969333,0.0033706172490985706,1D-CNN
10,1.5,0.9798700670162196,0,16.657791139275734,0.028478857490813417,0.030403094714988074,0.07034960655461214,1D-CNN
11,1.5,1.0067270606424004,0,17.114360030920807,0.01752700402931942,0.031668137376336065,0.03721085466843342,1D-CNN
12,2.0,0.814421561700795,1,13.845166548913516,0.64651200798554,0.64651200798554,0.6187857660408886,1D-CNN
13,2.0,0.9827303135901512,0,16.70641533103257,0.009007810599819812,0.03711762739525585,0.03352844870311619,1D-CNN
14,2.0,1.0055940651123012,0,17.09509910690912,0.024607915566996128,0.036487239881906074,0.014203390413463671,1D-CNN
15,2.0,0.9996929515427108,0,16.99478017622608,0.023571747960230108,0.032613218014441656,0.017788509395807672,1D-CNN
16,3.0,0.815909270832036,1,13.870457604144612,0.31178564657677843,0.31178564657677843,0.2999306848943976,1D-CNN
17,3.0,0.9809019321097824,0,16.6753328458663,0.046264212662626626,0.04858421034427732,0.0015177661509106796,1D-CNN
18,3.0,0.9732168981237752,0,16.544687268104177,0.00558486488823814,0.05277250352264814,0.00543862108720081,1D-CNN
19,3.0,0.9908554809015122,0,16.844543175325708,0.004470535629201361,0.03217802603305238,0.0,1D-CNN
20,4.0,0.8379994509515972,1,14.245990666177152,0.07927900357171327,0.07927900357171327,0.08660846292439271,1D-CNN
21,4.0,1.006813205742935,0,17.115824497629898,0.017323763316895283,0.030559598385805777,0.0,1D-CNN
22,4.0,0.9894963246936248,0,16.821437519791623,0.007156653772981883,0.017546853570005103,0.0019861294837880314,1D-CNN
23,4.0,0.9916077956195992,0,16.857332525533188,0.015709070690213264,0.025615930031833146,0.0013590029025311405,1D-CNN
24,5.0,0.827706335755785,1,14.071007707848343,0.0313091200351136,0.03532064360692965,0.056459251866579505,1D-CNN
25,5.0,0.983935205276251,0,16.726898489696268,0.003025229620368098,0.014651221951915663,0.010958769516519862,1D-CNN
26,5.0,0.9882242483389612,0,16.79981222176234,0.002763671380542777,0.014605455235713488,0.009244052456385956,1D-CNN
27,5.0,1.0205934727704518,0,17.35008903709768,0.0007073942972447104,0.016914618065331566,0.0,1D-CNN
