curve_id,放电倍率,capacity_factor,is_degraded,split
0,0.5,1.0036566049570532,0,train
1,0.5,0.9950688732299952,0,train
2,0.5,0.998499891636165,0,train
3,0.5,1.0024406588874393,0,train
4,0.5,0.9863180689704852,0,train
5,0.5,0.990978929826238,0,train
6,0.5,1.0095391870349875,0,train
7,0.5,0.9925167917289014,0,train
8,0.5,1.027595069116448,0,train
9,0.5,1.000099382919495,0,train
10,0.5,0.9747077273486272,0,train
11,0.5,1.0052081178814012,0,train
12,0.5,0.9791139641316662,0,train
13,0.5,1.0134327659439806,0,train
14,0.5,0.9791802870154548,0,train
15,0.5,0.985964679970254,0,train
16,0.5,0.9999865633360253,0,train
17,0.5,1.0219145121628816,0,train
18,0.5,1.0115331218334427,0,train
19,0.5,0.9972668134530239,0,train
20,0.5,0.9813299270600208,0,train
21,0.5,0.9992349488201122,0,train
22,0.5,1.017157449429645,0,train
23,0.5,1.0047942970725416,0,train
24,1.0,0.9983532795779649,0,train
25,1.0,1.0119394671708,0,train
26,1.0,1.0269020536001319,0,train
27,1.0,1.0143618005091535,0,train
28,1.0,1.0129084674979167,0,train
29,1.0,0.9947189318729545,0,train
30,1.0,1.0066974041433958,0,train
31,1.0,1.0083023682680448,0,train
32,1.0,0.9773155330274949,0,train
33,1.0,0.987958247085951,0,train
34,1.0,1.0205725638442793,0,train
35,1.0,1.0074945811106604,0,train
36,1.0,0.9969001557127466,0,train
37,1.0,1.0071489748805407,0,train
38,1.0,0.9971572292906404,0,train
39,1.0,0.9979516702453736,0,train
40,1.0,0.9886278759658915,0,train
41,1.0,1.0125912201866298,0,train
42,1.0,1.005468279022659,0,train
43,1.0,1.0080779392604977,0,train
44,1.0,0.9977634108884738,0,train
45,1.0,1.0072097265883573,0,train
46,1.0,1.0015284076557787,0,train
47,1.0,1.016293330603648,0,train
48,1.5,1.009485162576211,0,train
49,1.5,0.9974148776866903,0,train
50,1.5,1.0174627407567078,0,train
51,1.5,1.006329487709764,0,train
52,1.5,0.9827949959939586,0,train
53,1.5,0.9845477839626926,0,train
54,1.5,0.9829152146655553,0,train
55,1.5,1.0103896865791933,0,train
56,1.5,0.9950472224866294,0,train
57,1.5,1.0262437100673378,0,train
58,1.5,1.011026157860974,0,train
59,1.5,0.9842546856297025,0,train
60,1.5,1.008799814375204,0,train
61,1.5,0.9925231711605175,0,train
62,1.5,0.9978998876275407,0,train
63,1.5,0.9851261849427636,0,train
64,1.5,0.9829633914018828,0,train
65,1.5,1.0056884119668918,0,train
66,1.5,0.9974620030468377,0,train
67,1.5,1.026898298669636,0,train
68,1.5,1.0113725410791023,0,train
69,1.5,1.0051177888507634,0,train
70,1.5,0.9812057587489543,0,train
71,1.5,0.9878583763550569,0,train
72,2.0,1.006570449338558,0,train
73,2.0,1.0010373176604181,0,train
74,2.0,0.9978918652081437,0,train
75,2.0,1.0165611123385554,0,train
76,2.0,1.0219590883471654,0,train
77,2.0,1.002843910040792,0,train
78,2.0,1.0006991287391984,0,train
79,2.0,1.03,0,train
80,2.0,0.9911098755228538,0,train
81,2.0,1.004899045942564,0,train
82,2.0,1.0234667300628122,0,train
83,2.0,0.9998268369313581,0,train
84,2.0,0.9790112989207409,0,train
85,2.0,1.0212075428578642,0,train
86,2.0,1.0109247366378171,0,train
87,2.0,1.008490717030552,0,train
88,2.0,0.9975568718494693,0,train
89,2.0,0.9931961026659448,0,train
90,2.0,1.0087901125013015,0,train
91,2.0,1.0027977639560255,0,train
92,2.0,0.9845280828252114,0,train
93,2.0,1.0032669649795305,0,train
94,2.0,1.018490076258446,0,train
95,2.0,0.970216393808005,0,train
96,3.0,1.0047051616631173,0,train
97,3.0,0.9950606432546578,0,train
