放电时间,放电倍率,放电电压,已放电容量
0.0,0.5,4.058494333439083,0.0
40.37054500385912,0.5,4.057989185165581,0.09531934237022294
80.74109000771824,0.5,4.036912776685017,0.19063868474044587
121.11163501157736,0.5,4.039703485978895,0.2859580271106688
161.48218001543648,0.5,4.047708754448441,0.38127736948089175
201.8527250192956,0.5,4.042993418423347,0.4765967118511147
242.22327002315473,0.5,4.043219229496425,0.5719160542213376
282.5938150270139,0.5,4.035696574607861,0.6672353965915605
322.96436003087297,0.5,4.045426351170734,0.7625547389617835
363.33490503473206,0.5,4.042687506423289,0.8578740813320065
403.7054500385912,0.5,4.035739529731052,0.9531934237022294
444.07599504245036,0.5,4.040667495053049,1.0485127660724523
484.44654004630945,0.5,4.033887182947859,1.1438321084426752
524.8170850501685,0.5,4.022512670579453,1.2391514508128982
565.1876300540277,0.5,4.0282930738622795,1.334470793183121
605.5581750578868,0.5,4.0167343294979805,1.429790135553344
645.9287200617459,0.5,4.026453518036956,1.525109477923567
686.299265065605,0.5,4.017422112378362,1.62042882029379
726.6698100694641,0.5,4.013668689515797,1.715748162664013
767.0403550733233,0.5,4.0074049990624925,1.8110675050342357
807.4109000771824,0.5,4.017271409482069,1.9063868474044587
847.7814450810415,0.5,4.004933951889386,2.0017061897746817
888.1519900849007,0.5,3.99999060463756,2.0970255321449045
928.5225350887598,0.5,3.997364557968228,2.1923448745151277
968.8930800926189,0.5,4.000157385463582,2.2876642168853505
1009.263625096478,0.5,3.9958258542894023,2.3829835592555733
1049.634170100337,0.5,3.9929209262444347,2.4783029016257965
1090.0047151041963,0.5,3.989809274198366,2.5736222439960192
1130.3752601080555,0.5,3.998123393201554,2.668941586366242
1170.7458051119145,0.5,3.9776991919963427,2.7642609287364652
1211.1163501157737,0.5,3.973778518315671,2.859580271106688
1251.4868951196327,0.5,3.9685643089855,2.954899613476911
1291.8574401234919,0.5,3.975072367920596,3.050218955847134
1332.227985127351,0.5,3.9754366225482607,3.1455382982173568
1372.59853013121,0.5,3.9640004560591753,3.24085764058758
1412.9690751350693,0.5,3.9561111312368875,3.3361769829578027
1453.3396201389282,0.5,3.9532949513609466,3.431496325328026
1493.7101651427874,0.5,3.9604008019150037,3.5268156676982487
1534.0807101466467,0.5,3.958251369333969,3.6221350100684715
1574.4512551505056,0.5,3.954205947254626,3.7174543524386947
1614.8218001543648,0.5,3.943436245527786,3.8127736948089175
1655.192345158224,0.5,3.9469704533311942,3.9080930371791403
1695.562890162083,0.5,3.943753953859186,4.0034123795493635
1735.9334351659422,0.5,3.9420946430044763,4.098731721919586
1776.3039801698014,0.5,3.9442425316664242,4.194051064289809
1816.6745251736604,0.5,3.9377011634418717,4.289370406660032
1857.0450701775196,0.5,3.938695001060524,4.384689749030255
1897.4156151813786,0.5,3.9325766736442103,4.480009091400478
1937.7861601852378,0.5,3.93216633314669,4.575328433770701
1978.156705189097,0.5,3.9326542525293062,4.670647776140924
2018.527250192956,0.5,3.916817135648722,4.7659671185111465
2058.897795196815,0.5,3.922833920790597,4.86128646088137
2099.268340200674,0.5,3.9202313665690895,4.956605803251593
2139.6388852045334,0.5,3.917581382646597,5.051925145621816
2180.0094302083926,0.5,3.9185934385266776,5.1472444879920385
2220.379975212252,0.5,3.9291643052932135,5.242563830362261
2260.750520216111,0.5,3.911914318037708,5.337883172732484
2301.1210652199698,0.5,3.9230386146868517,5.433202515102708
2341.491610223829,0.5,3.903942633582659,5.5285218574729305
2381.862155227688,0.5,3.9118923865286317,5.623841199843153
2422.2327002315474,0.5,3.91415027910228,5.719160542213376
2462.6032452354066,0.5,3.91595193648782,5.814479884583599
2502.9737902392653,0.5,3.915779830275335,5.909799226953822
2543.3443352431245,0.5,3.9153556623513417,6.005118569324045
2583.7148802469837,0.5,3.906702185981525,6.100437911694268
2624.085425250843,0.5,3.9050213726268246,6.195757254064491
2664.455970254702,0.5,3.913047141131606,6.2910765964347135
2704.826515258561,0.5,3.9051022552546235,6.386395938804937
2745.19706026242,0.5,3.896941514877774,6.48171528117516
2785.5676052662793,0.5,3.8970795866146952,6.577034623545383
2825.9381502701385,0.5,3.8977149174218386,6.6723539659156055
2866.3086952739977,0.5,3.906481162341086,6.767673308285828
2906.6792402778565,0.5,3.9033001270147567,6.862992650656052
2947.0497852817157,0.5,3.9062194887369706,6.958311993026275
2987.420330285575,0.5,3.8978985155595223,7.0536313353964974
3027.790875289434,0.5,3.901077481950242,7.14895067776672
3068.1614202932933,0.5,3.9034534011932784,7.244270020136943
3108.5319652971525,0.5,3.896361743156818,7.339589362507166
3148.9025103010113,0.5,3.9007454750490753,7.434908704877389
3189.2730553048705,0.5,3.892397316457812,7.530228047247612
3229.6436003087297,0.5,3.8936058715887505,7.625547389617835
3270.014145312589,0.5,3.8926564475996934,7.720866731988058
3310.384690316448,0.5,3.886320902849568,7.8161860743582805
3350.755235320307,0.5,3.896819884701078,7.911505416728504
3391.125780324166,0.5,3.8894820990903938,8.006824759098727
3431.4963253280253,0.5,3.891827744900995,8.10214410146895
3471.8668703318845,0.5,3.8940537117371474,8.197463443839172
3512.2374153357437,0.5,3.892857707433592,8.292782786209395
3552.607960339603,0.5,3.893336825582547,8.388102128579618
3592.9785053434616,0.5,3.8871466102970818,8.48342147094984
3633.349050347321,0.5,3.8838811746282764,8.578740813320064
3673.71959535118,0.5,3.8850855348793853,8.674060155690288
3714.0901403550392,0.5,3.8730743809640984,8.76937949806051
3754.4606853588984,0.5,3.8734880186604794,8.864698840430734
3794.831230362757,0.5,3.8730685491866055,8.960018182800956
3835.2017753666164,0.5,3.8739513135349877,9.05533752517118
3875.5723203704756,0.5,3.882008869916526,9.150656867541402
3915.942865374335,0.5,3.871764146638011,9.245976209911625
3956.313410378194,0.5,3.873823573676387,9.341295552281847
3996.6839553820528,0.5,3.8835763976295374,9.43661489465207
4037.054500385912,0.5,3.870758597360607,9.531934237022293
4077.425045389771,0.5,3.8764205039913677,9.627253579392516
4117.79559039363,0.5,3.8633369930727137,9.72257292176274
4158.16613539749,0.5,3.866362041808576,9.817892264132963
4198.536680401348,0.5,3.859354396481728,9.913211606503186
4238.907225405208,0.5,3.861400427281161,10.008530948873409
4279.277770409067,0.5,3.8671812877206264,10.103850291243631
4319.6483154129255,0.5,3.847563253812446,10.199169633613854
4360.018860416785,0.5,3.859756133185265,10.294488975984077
4400.389405420644,0.5,3.855911531723681,10.3898083183543
4440.759950424504,0.5,3.8476553572263317,10.485127660724523
4481.130495428362,0.5,3.839133898439408,10.580447003094745
4521.501040432222,0.5,3.846474083579667,10.675766345464968
4561.871585436081,0.5,3.839362464206174,10.771085687835193
4602.2421304399395,0.5,3.841306526594578,10.866405030205415
4642.612675443799,0.5,3.836525929693582,10.961724372575638
4682.983220447658,0.5,3.843668665164795,11.057043714945861
4723.353765451518,0.5,3.8275474914916896,11.152363057316084
4763.724310455376,0.5,3.8183815321800623,11.247682399686306
4804.094855459235,0.5,3.8224397936073427,11.34300174205653
4844.465400463095,0.5,3.818458552024835,11.438321084426752
4884.8359454669535,0.5,3.821687911017372,11.533640426796975
4925.206490470813,0.5,3.8134775067529465,11.628959769167198
4965.577035474672,0.5,3.8053549338592614,11.724279111537422
5005.947580478531,0.5,3.807698272542665,11.819598453907645
5046.31812548239,0.5,3.784431861883063,11.914917796277868
5086.688670486249,0.5,3.782523373515268,12.01023713864809
5127.059215490109,0.5,3.77471399067357,12.105556481018313
5167.4297604939675,0.5,3.7721950067848797,12.200875823388536
5207.800305497826,0.5,3.759112585021171,12.296195165758759
