time,device_id,split,state_label,is_anomaly_point,fault_onset_idx,fault_onset_time,anomaly_start_idx,anomaly_start_time,fault_cell,current_a,ambient_temp_c,battery_cell_temp_1,battery_cell_temp_2,battery_cell_temp_3,battery_cell_temp_4,battery_cell_temp_5,battery_cell_temp_6,battery_cell_temp_7,battery_cell_temp_8,battery_cell_volt_1,battery_cell_volt_2,battery_cell_volt_3,battery_cell_volt_4,battery_cell_volt_5,battery_cell_volt_6,battery_cell_volt_7,battery_cell_volt_8,battery_cell_SOC_1,battery_cell_SOC_2,battery_cell_SOC_3,battery_cell_SOC_4,battery_cell_SOC_5,battery_cell_SOC_6,battery_cell_SOC_7,battery_cell_SOC_8
2026-01-01 00:00:00,BAT_0001,train,normal,0,-1,,-1,,,0.5969491,29.6,31.267584,30.797606,31.95014,31.490623,31.016258,32.179375,31.374151,29.917906,3.6339567,3.6272626,3.730852,3.698202,3.7099097,3.7051363,3.8573296,3.6410792,64.57338,65.18293,72.25848,70.92355,71.301865,71.44657,85.13318,64.74868
2026-01-01 00:05:00,BAT_0001,train,normal,0,-1,,-1,,,0.59945357,29.520153,31.345179,30.329817,31.876856,32.070004,31.222061,32.18597,31.521393,31.060389,3.6376534,3.6439197,3.7307172,3.7024534,3.7117023,3.7030184,3.8572857,3.6392016,64.8554,65.4719,72.53826,71.2024,71.59575,71.736946,85.41609,65.03387
2026-01-01 00:10:00,BAT_0001,train,normal,0,-1,,-1,,,0.67944264,29.439344,31.038681,30.790213,32.107086,31.799242,31.712534,31.958727,32.230297,31.382668,3.649311,3.6382816,3.7420542,3.7193441,3.7239885,3.7163217,3.872294,3.63535,65.17505,65.79944,72.85538,71.518456,71.92885,72.06606,85.736755,65.35711
2026-01-01 00:15:00,BAT_0001,train,normal,0,-1,,-1,,,0.71734405,29.357613,31.456047,30.988237,32.293266,31.561138,31.063547,32.472492,31.768585,30.766026,3.6505876,3.6424541,3.742856,3.7163327,3.7217338,3.7273085,3.8696983,3.6509204,65.51253,66.14524,73.190186,71.852135,72.28053,72.413536,86.07531,65.69839
2026-01-01 00:20:00,BAT_0001,train,normal,0,-1,,-1,,,0.6750109,29.274996,31.1606,29.945837,31.686659,31.463118,31.468388,32.17972,31.633759,30.720594,3.653366,3.6491325,3.74428,3.722913,3.729851,3.728334,3.8734093,3.6541302,65.83009,66.47064,73.50523,72.16612,72.61146,72.74051,86.39388,66.01952
2026-01-01 00:25:00,BAT_0001,train,normal,0,-1,,-1,,,0.6543632,29.191536,30.588745,30.629824,31.766762,31.873142,31.654942,31.277712,31.21403,30.252548,3.6521842,3.6513937,3.7509933,3.7273557,3.7282617,3.727568,3.8763769,3.6598575,66.13795,66.78609,73.810646,72.47051,72.93227,73.05748,86.70271,66.33083
2026-01-01 00:30:00,BAT_0001,train,normal,0,-1,,-1,,,0.665233,29.107271,31.006733,30.418625,31.475416,31.762644,30.703875,31.410543,30.986448,30.30992,3.6626642,3.65424,3.7518225,3.7138739,3.7327924,3.7108724,3.8696127,3.6605182,66.45091,67.10677,74.12113,72.77995,73.2584,73.379715,87.01667,66.647316
2026-01-01 00:35:00,BAT_0001,train,normal,0,-1,,-1,,,0.73966444,29.02224,30.770771,30.55762,31.650969,31.411037,31.41327,31.841743,31.72712,30.512543,3.6699233,3.6570954,3.7530198,3.739198,3.7350662,3.7434976,3.8829021,3.6667745,66.7989,67.46334,74.46636,73.124016,73.621025,73.73801,87.36576,66.99921
2026-01-01 00:40:00,BAT_0001,train,normal,0,-1,,-1,,,0.7495959,28.936485,31.054956,30.360594,31.642286,31.777641,31.000397,31.950514,31.148964,30.726645,3.6794367,3.667359,3.755605,3.7364857,3.7412057,3.7313318,3.8852794,3.6660175,67.15155,67.82469,74.81622,73.4727,73.98852,74.101105,87.719536,67.35583
2026-01-01 00:45:00,BAT_0001,train,normal,0,-1,,-1,,,0.74395096,28.850046,30.794312,30.651598,31.556288,31.899038,30.687387,31.286983,31.098946,30.021376,3.6801558,3.6708124,3.7621949,3.7399096,3.7459397,3.7437687,3.8849247,3.6685367,67.50155,68.18333,75.16345,73.81876,74.35324,74.46147,88.07065,67.70976
