image_path,saliency_path,true_steering,pred_steering,pred_throttle,pred_brake
images/frame_000527.png,explain\saliency_00.png,0.9397495985031128,0.0014831636799499393,0.46794331073760986,0.36913710832595825
images/frame_000556.png,explain\saliency_01.png,0.792016327381134,-0.06989067792892456,0.4704977571964264,0.4046327471733093
images/frame_000587.png,explain\saliency_02.png,-0.818477988243103,-0.07531501352787018,0.45712077617645264,0.3364585041999817
images/frame_000573.png,explain\saliency_03.png,-0.741954505443573,-0.024697763845324516,0.4694754481315613,0.38786014914512634
images/frame_000571.png,explain\saliency_04.png,-0.7206316590309143,-0.032181963324546814,0.4589541554450989,0.33184224367141724
images/frame_000582.png,explain\saliency_05.png,-0.6710096597671509,-0.018834970891475677,0.4690896272659302,0.3844090402126312
images/frame_000530.png,explain\saliency_06.png,-0.6264131665229797,0.0033801665995270014,0.46756526827812195,0.3684035539627075
images/frame_000591.png,explain\saliency_07.png,-0.7023078203201294,-0.08174054324626923,0.46158739924430847,0.36213862895965576
images/frame_000524.png,explain\saliency_08.png,-0.6739393472671509,-0.05654051899909973,0.46306881308555603,0.3626101016998291
images/frame_000554.png,explain\saliency_09.png,-0.6775805950164795,-0.06505467742681503,0.4640030562877655,0.3700403571128845
images/frame_000592.png,explain\saliency_10.png,-0.7014853358268738,-0.0939185619354248,0.46594932675361633,0.3878467082977295
images/frame_000533.png,explain\saliency_11.png,0.5110240578651428,-0.08630699664354324,0.46288931369781494,0.36981311440467834
