frame_id,image_path,split_hint,curvature,lateral_offset,traffic_density,obstacle,rain,fog,glare,bad_frame,steering,throttle,brake
frame_000000,images/frame_000000.png,train,0.20861994426471772,-0.04562721938649094,0.14623940150121914,0,1,0,0,0,-0.13422324201969715,0.4470922206216297,0.17640529068053784
frame_000001,images/frame_000001.png,train,-0.3684057415052618,-0.10344930740510287,0.04341210554894012,0,0,0,1,0,0.3323242002485931,0.6311246147568186,0.03906069404022133
frame_000002,images/frame_000002.png,train,0.40213132037412813,0.32920024470566844,0.176451842118106,1,1,0,0,0,-0.5200561603462972,0.07781559118383721,0.8325941579712763
frame_000003,images/frame_000003.png,train,0.3710512283809833,-0.575280835787036,0.034598413925463416,0,0,0,0,0,0.05466158003174042,0.6336803094498912,0.036917226307610664
frame_000004,images/frame_000004.png,train,0.08161078191130369,0.6102457864056999,0.015578307360435027,0,1,0,0,0,-0.34848402687580765,0.5182254360415869,0.14196919273596875
frame_000005,images/frame_000005.png,train,-0.4423046019708678,-0.2500403645856548,0.16823462746094062,0,0,1,0,0,0.4540991783590235,0.4126569599944972,0.08399906124184717
frame_000006,images/frame_000006.png,train,-0.565739262490714,0.5958003374190397,0.20492800293678518,0,0,0,1,0,0.11113199423046095,0.5351273464739823,0.08227397292817415
frame_000007,images/frame_000007.png,train,-0.004327204153393144,-0.20510395739630463,0.13511587379869539,0,0,0,0,0,0.06765985296048771,0.671844003339778,0.05597797196853074
frame_000008,images/frame_000008.png,train,0.08638270801107124,-0.31131825911672667,0.4528244910005558,0,0,0,0,0,0.14609758095027414,0.5442348865475912,0.13608259709631498
frame_000009,images/frame_000009.png,train,-0.35576839287029816,-0.27674368681843925,0.0569707494555304,0,1,0,0,0,0.40704051169864663,0.44890655911650473,0.1566210401508963
frame_000010,images/frame_000010.png,train,0.3831249577878775,0.13500329756214402,0.08718521394625642,0,1,0,0,0,-0.4167168788951878,0.43286018356123473,0.16455193238327762
frame_000011,images/frame_000011.png,train,0.0666566191444962,-0.7290222440059144,0.040842995901905585,0,0,0,0,0,0.34304118892396274,0.6923736276054338,0.03359556888998453
frame_000012,images/frame_000012.png,train,0.2965925375988449,0.2614388050263172,0.16245962894711408,0,0,0,0,0,-0.24736796993347165,0.6038206223487411,0.0674354685804658
frame_000013,images/frame_000013.png,train,-0.04392564528634691,0.25020534653449006,0.1860679198376183,0,0,0,0,0,-0.09417853650935572,0.6460910989995642,0.06924765444431089
frame_000014,images/frame_000014.png,train,0.7300723577637366,0.42890517414880197,0.07630982156269912,1,0,0,0,0,-0.7754953071821938,0.2272770909003079,0.6986059934717692
frame_000015,images/frame_000015.png,train,-0.3983007918505646,-0.28306346743155436,0.055667171487882375,0,0,0,0,0,0.48197657007434025,0.6208563316091282,0.04257827119860386
frame_000016,images/frame_000016.png,train,-0.21710506248259334,-0.16258668030750809,0.45109639648300137,0,0,1,0,0,0.287212320051805,0.3586952487344308,0.15054558732750584
frame_000017,images/frame_000017.png,train,1.0,-0.12744690357982844,0.07053437957300904,0,1,0,0,0,-0.7246697659785983,0.31531296714944684,0.17029252613410625
frame_000018,images/frame_000018.png,train,-0.11694316289609255,0.1505620007407221,0.20642573827871796,0,1,0,0,0,0.017924404501068792,0.44436235902323024,0.18986467369945956
frame_000019,images/frame_000019.png,train,-0.15702984257575367,-0.23984751939211107,0.19119096620850012,0,0,0,0,0,0.3881370633601752,0.6216771933118742,0.07232783710092008
frame_000020,images/frame_000020.png,train,-0.22302063227174057,0.6463159870880513,0.36233494344150047,0,0,0,0,0,-0.20186661715325382,0.5485786433411267,0.11582739608983997
frame_000021,images/frame_000021.png,train,0.08555685427466776,0.340462869948389,0.019331698205081745,0,0,0,1,0,-0.31618599865279895,0.6961225347732878,0.02856317082325497
