epoch,train_loss,val_loss,learning_rate
1,0.07970638865415722,0.03761836490247966,0.001
2,0.04794285601702059,0.036373015133123965,0.001
3,0.046081368782044226,0.03642633480339014,0.001
4,0.04481251329700142,0.037585048494041914,0.001
5,0.04446779102242099,0.03539403670930222,0.001
6,0.04369457730069686,0.0347501871405669,0.001
7,0.04341758109342205,0.03534084505632711,0.001
8,0.04330165946436433,0.034664459217186167,0.001
9,0.043232451514828796,0.03526372721932046,0.001
10,0.04274234383617946,0.035687786765910216,0.001
11,0.042575935333008345,0.03507228089243726,0.0005
12,0.0415771771097444,0.03354755572183734,0.0005
13,0.04146484009646614,0.03362495576093221,0.0005
14,0.04128767174568512,0.03457083994843858,0.0005
15,0.04138687699257797,0.03405791306080046,0.00025
16,0.04064405435087603,0.03341210593658006,0.00025
17,0.040855063709150444,0.03331466314204546,0.00025
18,0.040858397764380765,0.03360188914457639,0.00025
