time,device_id,split,state_label,is_anomaly_point,anomaly_start_time,fault_cell,window_start_time,target_time,anomaly_score,abs_norm_residual_cell_voltage_min,abs_norm_residual_cell_voltage_delta,abs_norm_residual_cell_temp_max,abs_norm_residual_cell_temp_delta,abs_norm_residual_cell_soc_mean,abs_norm_residual_cell_soc_delta
2026-01-01 02:40:00,BAT_0001,train,normal,0,,,2026-01-01 00:00:00,2026-01-01 02:40:00,0.39308012,0.18051058,0.046630636,0.053589627,0.32207164,0.038628373,0.020777205
2026-01-01 02:45:00,BAT_0001,train,normal,0,,,2026-01-01 00:05:00,2026-01-01 02:45:00,0.31593397,0.19078846,0.15987946,0.07783377,0.029329747,0.038502973,0.027891347
2026-01-01 02:50:00,BAT_0001,train,normal,0,,,2026-01-01 00:10:00,2026-01-01 02:50:00,0.27982575,0.16548547,0.08646857,0.04879379,0.18712123,0.038148414,0.034476575
2026-01-01 02:55:00,BAT_0001,train,normal,0,,,2026-01-01 00:15:00,2026-01-01 02:55:00,1.5073272,0.19262983,0.003661322,0.16289763,1.3068231,0.034509342,0.041972812
2026-01-01 03:00:00,BAT_0001,train,normal,0,,,2026-01-01 00:20:00,2026-01-01 03:00:00,0.3311211,0.17599884,0.18101515,0.021344487,0.11879789,0.02954628,0.042330652
2026-01-01 03:05:00,BAT_0001,train,normal,0,,,2026-01-01 00:25:00,2026-01-01 03:05:00,0.4389369,0.1889412,0.14240095,0.078136414,0.35011303,0.025757609,0.04558059
2026-01-01 03:10:00,BAT_0001,train,normal,0,,,2026-01-01 00:30:00,2026-01-01 03:10:00,0.31851292,0.1912154,0.046379313,0.12771402,0.1587673,0.017553624,0.05516533
2026-01-01 03:15:00,BAT_0001,train,normal,0,,,2026-01-01 00:35:00,2026-01-01 03:15:00,1.4774454,0.1766288,0.029795142,0.16667835,1.2795688,0.020904988,0.04016164
2026-01-01 03:20:00,BAT_0001,train,normal,0,,,2026-01-01 00:40:00,2026-01-01 03:20:00,0.9576615,0.15353505,0.17038848,0.20159721,0.80378616,0.017992081,0.035053138
2026-01-01 03:25:00,BAT_0001,train,normal,0,,,2026-01-01 00:45:00,2026-01-01 03:25:00,0.615714,0.19743574,0.047158796,0.03910934,0.51979595,0.014543608,0.033178482
2026-01-01 03:30:00,BAT_0001,train,normal,0,,,2026-01-01 00:50:00,2026-01-01 03:30:00,0.3244416,0.19816335,0.056347348,0.0054154377,0.26278755,0.015965903,0.00088909926
2026-01-01 03:35:00,BAT_0001,train,normal,0,,,2026-01-01 00:55:00,2026-01-01 03:35:00,0.7722353,0.18014728,0.020612622,0.03347729,0.66328543,0.016086388,0.034992922
2026-01-01 03:40:00,BAT_0001,train,normal,0,,,2026-01-01 01:00:00,2026-01-01 03:40:00,0.5715815,0.17396012,0.009800206,0.0236209,0.48628896,0.011516725,0.054874435
2026-01-01 03:45:00,BAT_0001,train,normal,0,,,2026-01-01 01:05:00,2026-01-01 03:45:00,0.32290682,0.20357034,0.03593541,0.052376173,0.045069024,0.011019726,0.08426426
2026-01-01 03:50:00,BAT_0001,train,normal,0,,,2026-01-01 01:10:00,2026-01-01 03:50:00,0.31680357,0.20021026,0.025677217,0.06419987,0.0061104014,0.011679692,0.1151606
2026-01-01 03:55:00,BAT_0001,train,normal,0,,,2026-01-01 01:15:00,2026-01-01 03:55:00,0.733052,0.20014025,0.1120598,0.038976435,0.61195344,0.009640729,0.13328663
2026-01-01 04:00:00,BAT_0001,train,normal,0,,,2026-01-01 01:20:00,2026-01-01 04:00:00,0.24500467,0.14591578,0.09210617,0.027589343,0.040192023,0.013361428,0.15553391
2026-01-01 04:05:00,BAT_0001,train,normal,0,,,2026-01-01 01:25:00,2026-01-01 04:05:00,0.33860746,0.1896963,0.1641683,0.08483644,0.23632856,0.0140490625,0.16600749
2026-01-01 04:10:00,BAT_0001,train,normal,0,,,2026-01-01 01:30:00,2026-01-01 04:10:00,1.2326225,0.15306933,0.07388993,0.10750561,1.0567113,0.014246366,0.17037912
2026-01-01 04:15:00,BAT_0001,train,normal,0,,,2026-01-01 01:35:00,2026-01-01 04:15:00,0.20643465,0.10877743,0.07998982,0.038057465,0.12335886,0.016495664,0.17808896
2026-01-01 04:20:00,BAT_0001,train,normal,0,,,2026-01-01 01:40:00,2026-01-01 04:20:00,0.3862439,0.13824433,0.20218888,0.062149253,0.28455374,0.02055293,0.17641044
2026-01-01 04:25:00,BAT_0001,train,normal,0,,,2026-01-01 01:45:00,2026-01-01 04:25:00,0.5307268,0.11502138,0.06467306,0.030650862,0.44163305,0.02100337,0.18109544
2026-01-01 04:30:00,BAT_0001,train,normal,0,,,2026-01-01 01:50:00,2026-01-01 04:30:00,0.49974236,0.14241332,0.14060141,0.040715884,0.40406716,0.016882824,0.1747371
